,,SN neutrino arrival delay [s] 2022-06-14 20:00:00.100
ASAS J181343-1914.5,DUNE,0.02136944369258587
ASAS J181343-1914.5,NOvA,0.02239809717178574
ASAS J181343-1914.5,SNOP,0.02362474980181104
ASAS J181343-1914.5,HALO-1kT,0.02362474980181104
ASAS J181343-1914.5,KL,0.044967262503992356
ASAS J181343-1914.5,SK,0.044967854630779375
ASAS J181343-1914.5,HK,0.04497769784172229
ASAS J181343-1914.5,LVD,0.04585000522167163
ASAS J181343-1914.5,DS-20K,0.04585000522167163
ASAS J181343-1914.5,Borexino,0.04585000522167163
ASAS J181343-1914.5,XENONnT,0.04585000522167163
ASAS J181343-1914.5,KM3,0.04739847711514192
ASAS J181343-1914.5,IC,0.04870666768012184
ASAS J181343-1914.5,Baksan,0.04961555771294159
ASAS J181343-1914.5,JUNO,0.05190323929103347
ASAS J181343-1914.5,PandaX-4T,0.052362132439564925
NSV 4437,SK,0.0291404209685857
NSV 4437,KL,0.029141396923198604
NSV 4437,HK,0.029148148618859292
NSV 4437,PandaX-4T,0.029544279349032438
NSV 4437,JUNO,0.03010338293543242
NSV 4437,Baksan,0.03900977031962896
NSV 4437,LVD,0.045647829740208055
NSV 4437,DS-20K,0.045647829740208055
NSV 4437,Borexino,0.045647829740208055
NSV 4437,XENONnT,0.045647829740208055
NSV 4437,KM3,0.04661631060855076
NSV 4437,NOvA,0.05097362236892779
NSV 4437,SNOP,0.05238321723860298
NSV 4437,HALO-1kT,0.05238321723860298
NSV 4437,SBND,0.053470748307312146
NSV 4437,DUNE,0.053470748307312146
NSV 4437,LZ,0.053470748307312146
NSV 4437,MicroBooNe,0.053470748307312146
NSV 4437,IC,0.06522322778078707
ASAS J103803-5649.1,SK,0.05172261742312048
ASAS J103803-5649.1,KL,0.05172320647943114
ASAS J103803-5649.1,HK,0.05173517660009576
ASAS J103803-5649.1,PandaX-4T,0.05583565940266308
ASAS J103803-5649.1,JUNO,0.05618961214214195
ASAS J103803-5649.1,Baksan,0.06208359377374629
ASAS J103803-5649.1,NOvA,0.06578581387498576
ASAS J103803-5649.1,LVD,0.06682523093873931
ASAS J103803-5649.1,DS-20K,0.06682523093873931
ASAS J103803-5649.1,Borexino,0.06682523093873931
ASAS J103803-5649.1,XENONnT,0.06682523093873931
ASAS J103803-5649.1,HALO-1kT,0.0676029396204264
ASAS J103803-5649.1,SNOP,0.0676029396204264
ASAS J103803-5649.1,KM3,0.0684537171926109
ASAS J103803-5649.1,SBND,0.06848862502352596
ASAS J103803-5649.1,DUNE,0.06848862502352596
ASAS J103803-5649.1,LZ,0.06848862502352596
ASAS J103803-5649.1,MicroBooNe,0.06848862502352596
ASAS J103803-5649.1,IC,0.08957490247374732
V0348 Vel,SK,0.02734819355551435
V0348 Vel,KL,0.027348909219476632
V0348 Vel,HK,0.02736178747053849
V0348 Vel,PandaX-4T,0.03175092926172631
V0348 Vel,JUNO,0.03203577567356632
V0348 Vel,Baksan,0.039436813415950844
V0348 Vel,NOvA,0.044452061421782964
V0348 Vel,LVD,0.044638512805355295
V0348 Vel,DS-20K,0.044638512805355295
V0348 Vel,Borexino,0.044638512805355295
V0348 Vel,XENONnT,0.044638512805355295
V0348 Vel,KM3,0.04613971892928394
V0348 Vel,HALO-1kT,0.046244423315151086
V0348 Vel,SNOP,0.046244423315151086
V0348 Vel,SBND,0.04711177693646643
V0348 Vel,DUNE,0.04711177693646643
V0348 Vel,LZ,0.04711177693646643
V0348 Vel,MicroBooNe,0.04711177693646643
V0348 Vel,IC,0.06513059281726023
HD 187238,MicroBooNe,0.07200183756027607
HD 187238,LZ,0.07200183756027607
HD 187238,DUNE,0.07200183756027607
HD 187238,SBND,0.07200183756027607
HD 187238,IC,0.07298781664354914
HD 187238,SNOP,0.07373937210636927
HD 187238,HALO-1kT,0.07373937210636927
HD 187238,NOvA,0.07450078656257346
HD 187238,DS-20K,0.08865499050180593
HD 187238,LVD,0.08865499050180593
HD 187238,XENONnT,0.08865499050180593
HD 187238,Borexino,0.08865499050180593
HD 187238,KM3,0.08886379775869287
HD 187238,Baksan,0.09435706029009026
HD 187238,KL,0.0959081897030522
HD 187238,SK,0.0959088742324069
HD 187238,HK,0.09591022712878865
HD 187238,JUNO,0.09908424576781356
HD 187238,PandaX-4T,0.0996217521364332
V0595 Cas,IC,0.058380527603366886
V0595 Cas,KM3,0.07905713027106949
V0595 Cas,DS-20K,0.08108111724758708
V0595 Cas,LVD,0.08108111724758708
V0595 Cas,Borexino,0.08108111724758708
V0595 Cas,XENONnT,0.08108111724758708
V0595 Cas,Baksan,0.0830277629575998
V0595 Cas,PandaX-4T,0.08687403699707524
V0595 Cas,JUNO,0.08719005654511443
V0595 Cas,SBND,0.08864609406728284
V0595 Cas,DUNE,0.08864609406728284
V0595 Cas,LZ,0.08864609406728284
V0595 Cas,MicroBooNe,0.08864609406728284
V0595 Cas,HALO-1kT,0.08866404750655603
V0595 Cas,SNOP,0.08866404750655603
V0595 Cas,NOvA,0.090342754024237
V0595 Cas,HK,0.09284192685997325
